Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create Sweep,,,2019-11-27 12:07:35,2019-11-27 12:08:42,1m - 6.991s,PASSED
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type XF,,,2019-11-27 12:07:36,2019-11-27 12:07:52,15.639s,PASSED
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:07:38,2019-11-27 12:07:38,0.005s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:07:38,2019-11-27 12:07:41,2.708s,PASSED
"for ([i = 1, i < 2, (i++)])",,,2019-11-27 12:07:41,2019-11-27 12:07:52,11.249s,PASSED
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type CD and Account not unique,,,2019-11-27 12:07:52,2019-11-27 12:07:56,4.130s,PASSED
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:07:53,2019-11-27 12:07:53,0.002s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:07:53,2019-11-27 12:07:53,0.647s,PASSED
"for ([i = 2, i < 3, (i++)])",,,2019-11-27 12:07:53,2019-11-27 12:07:56,2.822s,PASSED
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type CD code missing,,,2019-11-27 12:07:56,2019-11-27 12:08:00,4.343s,PASSED
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:07:57,2019-11-27 12:07:57,0.004s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:07:57,2019-11-27 12:07:57,0.587s,PASSED
"for ([i = 3, i < 4, (i++)])",,,2019-11-27 12:07:57,2019-11-27 12:08:00,3.064s,PASSED
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type OD,,,2019-11-27 12:08:01,2019-11-27 12:08:05,4.473s,PASSED
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:08:01,2019-11-27 12:08:01,0.003s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:08:01,2019-11-27 12:08:02,0.506s,PASSED
"for ([i = 4, i < 5, (i++)])",,,2019-11-27 12:08:02,2019-11-27 12:08:05,3.141s,PASSED
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type TB,,,2019-11-27 12:08:05,2019-11-27 12:08:09,4.071s,PASSED
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:08:06,2019-11-27 12:08:06,0.001s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:08:06,2019-11-27 12:08:06,0.567s,PASSED
"for ([i = 5, i < 6, (i++)])",,,2019-11-27 12:08:06,2019-11-27 12:08:09,2.745s,PASSED
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type TC,,,2019-11-27 12:08:09,2019-11-27 12:08:14,4.946s,PASSED
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:08:10,2019-11-27 12:08:10,0.003s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:08:10,2019-11-27 12:08:10,0.615s,PASSED
"for ([i = 6, i < 7, (i++)])",,,2019-11-27 12:08:10,2019-11-27 12:08:14,3.606s,PASSED
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type TD,,,2019-11-27 12:08:14,2019-11-27 12:08:19,5.422s,PASSED
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:08:15,2019-11-27 12:08:15,0.004s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:08:15,2019-11-27 12:08:16,0.893s,PASSED
"for ([i = 7, i < 8, (i++)])",,,2019-11-27 12:08:16,2019-11-27 12:08:19,3.347s,PASSED
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account with out mandatory fields,,,2019-11-27 12:08:19,2019-11-27 12:08:23,3.494s,PASSED
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:08:20,2019-11-27 12:08:20,0.001s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:08:20,2019-11-27 12:08:21,0.514s,PASSED
"for ([i = 8, i < 9, (i++)])",,,2019-11-27 12:08:21,2019-11-27 12:08:23,2.446s,PASSED
,,,,,,
